Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,SMA_50,daily_return,RSI_14,MACD,Signal_Line,target,momentum_5d,return_3d,volume_change,outlier_return,Adj Close_norm,Volume_norm,SMA_20_was_imputed,SMA_50_was_imputed,daily_return_was_imputed,RSI_14_was_imputed,MACD_was_imputed,Signal_Line_was_imputed,momentum_5d_was_imputed,return_3d_was_imputed,volume_change_was_imputed,outlier_return_was_imputed,Adj Close_norm_was_imputed,Volume_norm_was_imputed
2015-01-02,206.38,206.88,204.18,205.43,172.08,121465900.0,169.691,172.55380000000002,0.0,58.15626825514846,0.1631568660847904,1.024884813884194,0,0.0,0.0,0.0,0,0.034633652915823765,0.2078054221752565,1,1,1,1,1,1,1,1,1,0,0,0
2015-01-05,204.17,204.37,201.35,201.72,168.97,169632600.0,169.691,172.55380000000002,-0.01807298930729906,58.15626825514846,0.1631568660847904,1.024884813884194,0,0.0,0.0,0.39654503856637957,0,0.027794880816254697,0.30671557000030597,1,1,0,1,1,1,1,1,0,0,0,0
2015-01-06,202.09,202.72,198.86,199.82,167.38,209151400.0,169.691,172.55380000000002,-0.009409954429780432,58.15626825514846,0.1631568660847904,1.024884813884194,1,0.0,0.0,0.23296701223703464,0,0.024298531093323916,0.38786728580953866,1,1,0,1,1,1,1,1,0,0,0,0
2015-01-07,201.42,202.72,200.88,202.31,169.46,125346700.0,169.691,172.55380000000002,0.012426813239335699,58.15626825514846,0.1631568660847904,1.024884813884194,1,0.0,-0.015056130497743792,-0.40068916583871783,0,0.02887237224030259,0.2157746312279724,1,1,0,1,1,1,1,0,0,0,0,0
2015-01-08,204.01,206.16,203.99,205.9,172.47,147217800.0,169.691,172.55380000000002,0.01776230378850463,58.15626825514846,0.1631568660847904,1.024884813884194,0,0.0,0.020779162598059897,0.17448484882330373,0,0.035491248130882225,0.2606868576021363,1,1,0,1,1,1,1,0,0,0,0,0
2015-01-09,206.4,206.42,203.51,204.25,171.09,158567300.0,169.691,172.55380000000002,-0.008001391546355818,58.15626825514846,0.1631568660847904,1.024884813884194,0,-0.9900000000000091,0.02218772548148451,0.07709325910317899,0,0.03245668044682909,0.28399301564784835,1,1,0,1,1,1,0,0,0,0,0,0
2015-01-12,204.41,204.6,201.92,202.65,169.75,144396100.0,169.691,172.55380000000002,-0.007832135133555407,58.15626825514846,0.1631568660847904,1.024884813884194,0,0.7800000000000011,0.0019287771085934047,-0.08937025477510185,0,0.029510071246371672,0.2548925066476814,1,1,0,1,1,1,0,0,0,0,0,0
2015-01-13,204.12,205.48,200.51,202.08,169.27,214553300.0,169.691,172.55380000000002,-0.0028276877761412855,58.15626825514846,0.1631568660847904,1.024884813884194,0,1.8900000000000148,-0.01866121445605251,0.48586630802355457,0,0.028454569443222777,0.39896006832393416,1,1,0,1,1,1,0,0,0,0,0,0
2015-01-14,199.65,201.1,198.57,200.86,168.25,192991100.0,169.691,172.55380000000002,-0.00602587581969638,58.15626825514846,0.1631568660847904,1.024884813884194,0,-1.210000000000008,-0.016685698729393073,-0.10049810466676579,0,0.026211628111531327,0.35468216700552785,1,1,0,1,1,1,0,0,0,0,0,0
2015-01-15,201.63,202.01,198.88,199.02,166.71,176613900.0,169.691,172.55380000000002,-0.009153046062407078,58.15626825514846,0.1631568660847904,1.024884813884194,1,-5.759999999999991,-0.018006609658244743,-0.08485987177647047,0,0.022825226493095263,0.3210516448198601,1,1,0,1,1,1,0,0,0,0,0,0
2015-01-16,198.77,201.82,198.55,201.63,168.89,211879600.0,169.691,172.55380000000002,0.01307660008397793,58.15626825514846,0.1631568660847904,1.024884813884194,1,-2.200000000000017,-0.0021023217981255282,0.19967680912997232,0,0.027618963849063205,0.3934696348452064,1,1,0,1,1,1,0,0,0,0,0,0
2015-01-20,202.4,202.72,200.17,202.06,169.25,130991100.0,169.691,172.55380000000002,0.002131564923915086,58.15626825514846,0.1631568660847904,1.024884813884194,1,-0.5,0.006055118945485938,-0.38176634277202715,0,0.02841059020142489,0.22736538663333977,1,1,0,1,1,1,0,0,0,0,0,0
2015-01-21,201.5,203.66,200.94,203.08,170.11,122942700.0,169.691,172.55380000000002,0.005081240768094686,58.15626825514846,0.1631568660847904,1.024884813884194,1,0.8400000000000034,0.0202894057759877,-0.061442342266001315,0,0.030301697598733413,0.21083802574386368,1,1,0,1,1,1,0,0,0,0,0,0
2015-01-22,203.99,206.26,202.33,206.1,172.64,174356000.0,169.691,172.55380000000002,0.014872729410381424,58.15626825514846,0.1631568660847904,1.024884813884194,0,4.389999999999986,0.022085535102391196,0.4181891238764075,0,0.035865071686164096,0.3164150551682091,1,1,0,0,1,1,0,0,0,0,0,0
