Date,Open,High,Low,Close,Adj Close,Volume
2025-02-28,585.56,594.72,582.44,594.18,592.4,88744100
2025-02-27,596.85,598.02,584.65,585.05,583.3,74196700
2025-02-26,595.93,599.58,591.86,594.54,592.76,43321600
2025-02-25,597.15,597.89,589.56,594.24,592.46,58266500
2025-02-24,602.02,603.03,596.49,597.21,595.42,50737200
2025-02-21,610.16,610.3,599.47,599.94,598.14,76519800
2025-02-20,611.54,611.68,607.02,610.38,608.55,36554000
2025-02-19,610.08,613.23,609.56,612.93,611.09,31011100
2025-02-18,610.88,611.49,608.38,611.49,609.66,26749000
2025-02-14,609.94,610.99,609.07,609.7,607.87,26910400
2025-02-13,604.48,609.94,603.2,609.73,607.9,40921300
2025-02-12,599.2,604.55,598.51,603.36,601.55,45076100
2025-02-11,602.55,605.86,602.43,605.31,603.49,30056700
2025-02-10,604.03,605.5,602.74,604.85,603.04,26048700
2025-02-07,606.89,608.13,600.05,600.77,598.97,50788500
2025-02-06,605.99,606.45,602.63,606.32,604.5,35771500
2025-02-05,600.64,604.37,598.58,604.22,602.41,30653100
2025-02-04,597.83,602.3,597.28,601.78,599.98,33457800
2025-02-03,592.67,600.29,590.49,597.77,595.98,65857200
2025-01-31,607.5,609.96,601.05,601.82,600.02,66671500
2025-01-30,603.96,606.6,600.72,605.04,603.23,39281300
2025-01-29,603.72,604.13,599.22,601.81,600.01,37177400
2025-01-28,600.62,605.37,597.25,604.52,602.71,44433300
2025-01-27,594.81,599.69,594.64,599.37,597.57,70361100
2025-01-24,609.81,610.78,606.8,607.97,606.15,34604700
2025-01-23,605.8,609.75,605.52,609.75,607.92,41152100
2025-01-22,605.92,607.82,605.36,606.44,604.62,48196000
2025-01-21,600.67,603.06,598.67,603.05,601.24,42532900
2025-01-17,596.96,599.36,595.61,597.58,595.79,58070600
2025-01-16,594.17,594.35,590.93,591.64,589.87,43319700
2025-01-15,590.33,593.94,589.2,592.78,591,56900200
2025-01-14,584.36,585,578.35,582.19,580.44,48420600
2025-01-13,575.77,581.75,575.35,581.39,579.65,47910100
2025-01-10,585.88,585.95,578.55,580.49,578.75,73105000
2025-01-08,588.7,590.58,585.2,589.49,587.72,47304700
2025-01-07,597.42,597.75,586.78,588.63,586.86,60393100
2025-01-06,596.27,599.7,593.6,595.36,593.57,47679400
2025-01-03,587.53,592.6,586.43,591.95,590.17,37888500
2025-01-02,589.39,591.13,580.5,584.64,582.89,50204000
